gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,TenureGroup_Mid-term,TenureGroup_New,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,0,-1.2774445836787656,0,No phone service,No,Yes,No,No,No,No,1,-1.1603229160349193,-0.9942419353101233,0,-0.6105051249212433,False,True,False,False,False,False,False,True,False
0,0,0,0,0.06632741908223598,1,No,Yes,No,Yes,No,No,No,0,-0.2596289419448806,-0.17324412574959375,0,-0.186416834766094,False,False,False,False,True,False,False,False,True
0,0,0,0,-1.2367242199587352,1,No,Yes,Yes,No,No,No,No,1,-0.3626603559551803,-0.9596740712020441,1,-0.21112218393531967,False,True,False,False,False,False,False,False,True
0,0,0,0,0.5142514200025698,0,No phone service,Yes,No,Yes,Yes,No,No,0,-0.7465354629935549,-0.19476626336477718,0,-0.42823885899715475,False,False,False,False,True,False,False,False,False
1,0,0,0,-1.2367242199587352,1,No,No,No,No,No,No,No,1,0.19736523310080326,-0.9404697022531111,1,0.14745692716659317,False,True,True,False,False,False,False,True,False
1,0,0,0,-0.9924020376385531,1,Yes,No,No,Yes,No,Yes,Yes,1,1.1595456961969886,-0.6451859741727949,1,0.5882619378832549,True,False,True,False,False,False,False,True,False
0,0,0,1,-0.4223169455581282,1,Yes,No,Yes,No,No,Yes,No,1,0.8089065291619363,-0.14679948896704018,0,0.358220511278219,True,False,True,False,False,False,True,False,False
1,0,0,0,-0.9109613101984924,0,No phone service,Yes,No,No,No,No,No,0,-1.1636465100352518,-0.8741373704237511,0,-0.6048997503109146,True,False,False,False,False,False,False,False,True
1,0,1,0,-0.1779947632379461,1,Yes,No,No,Yes,Yes,Yes,Yes,1,1.330710787214099,0.3373492744317471,1,0.6908897524400094,False,False,True,False,False,False,False,True,False
0,0,0,1,1.2064976032430856,1,No,Yes,Yes,No,No,No,No,0,-0.28621769394753876,0.5324391741681479,0,-0.17514461349995536,False,False,False,False,True,False,False,False,False
0,0,1,1,-0.7888002190384014,1,No,Yes,No,No,No,No,No,1,-0.4922805219681379,-0.7480728289670203,0,-0.3576291753059598,True,False,False,False,False,False,False,False,True
0,0,0,0,-0.6666391278783103,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,-1.5225946620711341,-0.8631445247495343,0,-0.7658894063987389,True,False,False,True,False,True,True,False,False
